table_name,field_name,language,translation,record_id
routes,route_long_name,el,Άγιος Αθανάσιος - Μέσα Γειτονιά - Λεοντίου Σταθμός ΕΜΕΛ,10030011
routes,route_long_name,el,Λεοντίου Σταθμός ΕΜΕΛ - Καλογριές - Μέσα Γειτονιά - Άγιος Αθανάσιος,10030012
routes,route_long_name,el,Τμήμα Οδικών Μεταφορών - Λεοντίου Σταθμός ΕΜΕΛ,10040011
routes,route_long_name,el,Λεοντίου Σταθμός ΕΜΕΛ - Τμήμα Οδικών Μεταφορών,10040012
routes,route_long_name,el,Γ Τεχνική Σχολή (Ξενοδοχ. Σχολή) - Λεοντίου Στ. ΕΜΕΛ,10040021
routes,route_long_name,el,Λεοντίου Στ. ΕΜΕΛ - Γ Τεχνική Σχολή (Ξενοδοχ. Σχολή),10040022
routes,route_long_name,el,Νέο Νοσοκομείο - Άγιος Ιωάννης - Λεοντίου Σταθμός ΕΜΕΛ,10050021
routes,route_long_name,el,Λεοντίου Σταθμός ΕΜΕΛ - Άγιος Ιωάννης - Νέο Νοσοκομείο,10050022
routes,route_long_name,el,My Mall - Βιομ. Περ. Ύψωνα - Λεοντίου Σταθμός ΕΜΕΛ,10070011
routes,route_long_name,el,Λεοντίου Σταθμός ΕΜΕΛ - Βιομ. Περιοχή Ύψωνα - My Mall,10070012
routes,route_long_name,el,Παλόδεια - Αγία Φύλα - Λεοντίου Σταθμός ΕΜΕΛ,10090011
routes,route_long_name,el,Λεοντίου Σταθμός ΕΜΕΛ - Αγία Φύλα - Παλόδεια,10090012
routes,route_long_name,el,Λεοντίου Σταθμός ΕΜΕΛ - Αγία Φύλα - Λύκειο Αγίας Φύλας - Παλόδεια,10090022
routes,route_long_name,el,Οργανισμός Στέγης Αγ. Αθανασίου - Εναέριος - Βιομ. Περιοχή Αγ. Αθανασίου - Λεοντίου Σταθμός ΕΜΕΛ,10110011
routes,route_long_name,el,Λεοντίου Σταθμός ΕΜΕΛ - Βιομ. Περιοχή Αγ. Αθανασίου - Εναέριος - Οργανισμός Στέγης Αγ. Αθανασίου,10110012
routes,route_long_name,el,Μουταγιάκα - Λεοντίου Σταθμός ΕΜΕΛ,10120011
routes,route_long_name,el,Λεοντίου Σταθμός ΕΜΕΛ - Μουταγιάκα,10120012
routes,route_long_name,el,Γερμασόγεια - Λεοντίου Σταθμός ΕΜΕΛ,10130011
routes,route_long_name,el,Λεοντίου Σταθμός ΕΜΕΛ - Γερμασόγεια,10130012
routes,route_long_name,el,Εστιας (Συνοικισμός Αγ. Αθανασίου) - Λεοντίου Σταθμός ΕΜΕΛ,10140011
routes,route_long_name,el,Λεοντίου Σταθμός ΕΜΕΛ - Εστίας (Συνοικισμός Αγ. Αθανασίου),10140012
routes,route_long_name,el,Νέο Νοσοκομείο - Συν.Μακαρίου - Λεοντίου Σταθμός ΕΜΕΛ,10150011
routes,route_long_name,el,Λεοντίου Σταθμός ΕΜΕΛ - Συν. Μακαρίου - Νέο Νοσοκομείο,10150012
