route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
10300011,22692,16911081,PARKLANE HOTEL,10300011,0
10300012,22692,16911082,MY MALL,10300012,1
10300011,22692,16911083,PARKLANE HOTEL,10300011,0
10300012,22692,16911084,MY MALL,10300012,1
10300011,22692,16911085,PARKLANE HOTEL,10300011,0
10300012,22692,16911086,MY MALL,10300012,1
10300011,22692,16911087,PARKLANE HOTEL,10300011,0
10300012,22692,16911088,MY MALL,10300012,1
10300011,22692,16911089,PARKLANE HOTEL,10300011,0
10300012,22692,16911090,MY MALL,10300012,1
10300011,22692,16911091,PARKLANE HOTEL,10300011,0
10300012,22692,16911092,MY MALL,10300012,1
10300011,22692,16911093,PARKLANE HOTEL,10300011,0
10300012,22692,16911094,MY MALL,10300012,1
10300011,22692,16911095,PARKLANE HOTEL,10300011,0
10300012,22692,16911096,MY MALL,10300012,1
10300011,22692,16911097,PARKLANE HOTEL,10300011,0
10300012,22692,16911098,MY MALL,10300012,1
10300011,22692,16911099,PARKLANE HOTEL,10300011,0
10300012,22692,16911100,MY MALL,10300012,1
10300011,22692,16911101,PARKLANE HOTEL,10300011,0
10300012,22692,16911102,MY MALL,10300012,1
10300011,22692,16911103,PARKLANE HOTEL,10300011,0
10300012,22692,16911104,MY MALL,10300012,1
10160022,22692,16911105,KOURION BEACH,10160022,1
10160021,22692,16911106,LEONTIOU EMEL ST.,10160021,0
10160022,22692,16911107,KOURION BEACH,10160022,1
10160021,22692,16911108,LEONTIOU EMEL ST.,10160021,0
10160022,22692,16911109,KOURION BEACH,10160022,1
10160021,22692,16911110,LEONTIOU EMEL ST.,10160021,0
10160022,22692,16911111,KOURION BEACH,10160022,1
10160021,22692,16911112,LEONTIOU EMEL ST.,10160021,0
10160022,22692,16911113,KOURION BEACH,10160022,1
10210011,22692,16911114,KOLONAKIOU,10210011,0
10210012,22692,16911115,MY MALL,10210012,1
10210011,22692,16911116,KOLONAKIOU,10210011,0
10210012,22692,16911117,MY MALL,10210012,1
10210011,22692,16911118,KOLONAKIOU,10210011,0
10210012,22692,16911119,MY MALL,10210012,1
10210011,22692,16911120,KOLONAKIOU,10210011,0
10210012,22692,16911121,MY MALL,10210012,1
10210011,22692,16911122,KOLONAKIOU,10210011,0
10210012,22692,16911123,MY MALL,10210012,1
10270022,22692,16911124,ERIMI,10270022,1
10270021,22692,16911125,LEONTIOU EMEL ST.,10270021,0
10270022,22692,16911126,ERIMI,10270022,1
10270021,22692,16911127,LEONTIOU EMEL ST.,10270021,0
10270022,22692,16911128,ERIMI,10270022,1
10270021,22692,16911129,LEONTIOU EMEL ST.,10270021,0
10270022,22692,16911130,ERIMI,10270022,1
10270021,22692,16911131,LEONTIOU EMEL ST.,10270021,0
10270022,22692,16911132,ERIMI,10270022,1
10270021,22692,16911133,LEONTIOU EMEL ST.,10270021,0
10300011,22692,16911134,PARKLANE HOTEL,10300011,0
10300012,22692,16911135,MY MALL,10300012,1
10300011,22692,16911136,PARKLANE HOTEL,10300011,0
10300012,22692,16911137,MY MALL,10300012,1
10300011,22692,16911138,PARKLANE HOTEL,10300011,0
10300012,22692,16911139,MY MALL,10300012,1
10300011,22692,16911140,PARKLANE HOTEL,10300011,0
10300012,22692,16911141,MY MALL,10300012,1
15520011,22692,16911142,SAITTAS,15520011,0
15520012,22692,16911143,PRODROMOS,15520012,1
15520011,22692,16911144,SAITTAS,15520011,0
15520012,22692,16911145,PRODROMOS,15520012,1
15520011,22692,16911146,SAITTAS,15520011,0
15520012,22692,16911147,PRODROMOS,15520012,1
15670011,22692,16911148,ARAKAPAS,15670011,0
15670012,22692,16911149,PROFITIS ILIAS,15670012,1
15670011,22692,16911150,ARAKAPAS,15670011,0
10300011,22692,16911151,PARKLANE HOTEL,10300011,0
10300012,22692,16911152,MY MALL,10300012,1
10300011,22692,16911153,PARKLANE HOTEL,10300011,0
10300012,22692,16911154,MY MALL,10300012,1
10300011,22692,16911155,PARKLANE HOTEL,10300011,0
10300012,22692,16911156,MY MALL,10300012,1
10300011,22692,16911157,PARKLANE HOTEL,10300011,0
10300012,22692,16911158,MY MALL,10300012,1
15750011,22692,16911159,ARAKAPAS,15750011,0
15750012,22692,16911160,DIERONA,15750012,1
15750011,22692,16911161,ARAKAPAS,15750011,0
15700011,22692,16911162,KELLAKI,15700011,0
15700012,22692,16911163,PRASTIO,15700012,1
15700011,22692,16911164,KELLAKI,15700011,0
15710011,22692,16911165,KELLAKI,15710011,0
15710012,22692,16911166,VIKLA,15710012,1
15690011,22692,16911167,EPTAGONEIA,15690011,0
15690012,22692,16911168,MELINI,15690012,1
15690011,22692,16911169,EPTAGONEIA,15690011,0
10160022,22692,16911170,KOURION BEACH,10160022,1
10160021,22692,16911171,LEONTIOU EMEL ST.,10160021,0
10160022,22692,16911172,KOURION BEACH,10160022,1
10160021,22692,16911173,LEONTIOU EMEL ST.,10160021,0
10160022,22692,16911174,KOURION BEACH,10160022,1
10160021,22692,16911175,LEONTIOU EMEL ST.,10160021,0
10160022,22692,16911176,KOURION BEACH,10160022,1
10160021,22692,16911177,LEONTIOU EMEL ST.,10160021,0
10160022,22692,16911178,KOURION BEACH,10160022,1
10160021,22692,16911179,LEONTIOU EMEL ST.,10160021,0
10210011,22692,16911180,KOLONAKIOU,10210011,0
10210012,22692,16911181,MY MALL,10210012,1
10210011,22692,16911182,KOLONAKIOU,10210011,0
10210012,22692,16911183,MY MALL,10210012,1
10210011,22692,16911184,KOLONAKIOU,10210011,0
10210012,22692,16911185,MY MALL,10210012,1
10210011,22692,16911186,KOLONAKIOU,10210011,0
10210012,22692,16911187,MY MALL,10210012,1
10210011,22692,16911188,KOLONAKIOU,10210011,0
10210012,22692,16911189,MY MALL,10210012,1
10300011,22692,16911190,PARKLANE HOTEL,10300011,0
10300012,22692,16911191,MY MALL,10300012,1
10300011,22692,16911192,PARKLANE HOTEL,10300011,0
10300012,22692,16911193,MY MALL,10300012,1
10300011,22692,16911194,PARKLANE HOTEL,10300011,0
10300012,22692,16911195,MY MALL,10300012,1
10300011,22692,16911196,PARKLANE HOTEL,10300011,0
10300012,22692,16911197,MY MALL,10300012,1
10800011,22692,16911198,LEMESOS,10800011,0
10800012,22692,16911199,ARAKAPAS,10800012,1
10800011,22692,16911200,LEMESOS,10800011,0
10800012,22692,16911201,ARAKAPAS,10800012,1
10800011,22692,16911202,LEMESOS,10800011,0
10800012,22692,16911203,ARAKAPAS,10800012,1
15680011,22692,16911204,EPTAGONEIA,15680011,0
15680012,22692,16911205,AKAPNOU,15680012,1
10240011,22692,16911206,LEONTIOU EMEL ST.,10240011,0
10240012,22692,16911207,AKROTIRI,10240012,1
10240011,22692,16911208,LEONTIOU EMEL ST.,10240011,0
10240012,22692,16911209,AKROTIRI,10240012,1
10240011,22692,16911210,LEONTIOU EMEL ST.,10240011,0
10240012,22692,16911211,AKROTIRI,10240012,1
10240011,22692,16911212,LEONTIOU EMEL ST.,10240011,0
10240012,22692,16911213,AKROTIRI,10240012,1
10240011,22692,16911214,LEONTIOU EMEL ST.,10240011,0
10240012,22692,16911215,AKROTIRI,10240012,1
10240011,22692,16911216,LEONTIOU EMEL ST.,10240011,0
10240012,22692,16911217,AKROTIRI,10240012,1
10300011,22692,16911218,PARKLANE HOTEL,10300011,0
10300012,22692,16911219,MY MALL,10300012,1
10300011,22692,16911220,PARKLANE HOTEL,10300011,0
10300012,22692,16911221,MY MALL,10300012,1
10300011,22692,16911222,PARKLANE HOTEL,10300011,0
10300012,22692,16911223,MY MALL,10300012,1
10300011,22692,16911224,PARKLANE HOTEL,10300011,0
10300012,22692,16911225,MY MALL,10300012,1
10230021,22692,16911226,YPSONAS MUNICIP.,10230021,0
10230021,22692,16911227,YPSONAS MUNICIP.,10230021,0
10230021,22692,16911228,YPSONAS MUNICIP.,10230021,0
10230021,22692,16911229,YPSONAS MUNICIP.,10230021,0
10230021,22692,16911230,YPSONAS MUNICIP.,10230021,0
10230021,22692,16911231,YPSONAS MUNICIP.,10230021,0
10230021,22692,16911232,YPSONAS MUNICIP.,10230021,0
10230021,22692,16911233,YPSONAS MUNICIP.,10230021,0
15390011,22692,16911234,KYPEROUNTA,15390011,0
15390012,22692,16911235,AGRIDIA,15390012,1
10300011,22692,16911236,PARKLANE HOTEL,10300011,0
10300012,22692,16911237,MY MALL,10300012,1
10300011,22692,16911238,PARKLANE HOTEL,10300011,0
10300012,22692,16911239,MY MALL,10300012,1
10300011,22692,16911240,PARKLANE HOTEL,10300011,0
10300012,22692,16911241,MY MALL,10300012,1
10300011,22692,16911242,PARKLANE HOTEL,10300011,0
10300012,22692,16911243,MY MALL,10300012,1
10270022,22692,16911244,ERIMI,10270022,1
10270021,22692,16911245,LEONTIOU EMEL ST.,10270021,0
10270022,22692,16911246,ERIMI,10270022,1
10270021,22692,16911247,LEONTIOU EMEL ST.,10270021,0
10270022,22692,16911248,ERIMI,10270022,1
10270021,22692,16911249,LEONTIOU EMEL ST.,10270021,0
10270022,22692,16911250,ERIMI,10270022,1
10270021,22692,16911251,LEONTIOU EMEL ST.,10270021,0
10300011,22692,16911252,PARKLANE HOTEL,10300011,0
10300012,22692,16911253,MY MALL,10300012,1
10300011,22692,16911254,PARKLANE HOTEL,10300011,0
10300012,22692,16911255,MY MALL,10300012,1
10300011,22692,16911256,PARKLANE HOTEL,10300011,0
10300012,22692,16911257,MY MALL,10300012,1
10300011,22692,16911258,PARKLANE HOTEL,10300011,0
10300012,22692,16911259,MY MALL,10300012,1
