trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
16775542,05:25:00,05:25:00,3906,0,0,0
16775542,05:35:00,05:35:00,4728,1,0,0
16775542,05:47:00,05:47:00,4865,2,0,0
16775542,05:49:00,05:49:00,8018,3,0,0
16775542,05:54:00,05:54:00,5097,4,0,0
16775542,06:02:00,06:02:00,5213,5,0,0
16775542,06:49:00,06:49:00,7973,6,0,0
16775542,06:54:00,06:54:00,339,7,0,0
16775542,06:56:00,06:56:00,337,8,0,0
16775542,06:57:00,06:57:00,333,9,0,0
16775542,06:59:00,06:59:00,326,10,0,0
16775542,07:02:00,07:02:00,324,11,0,0
16775542,07:05:00,07:05:00,1,12,0,0
16775543,07:15:00,07:15:00,1,0,0,0
16775543,07:15:00,07:15:00,323,1,0,0
16775543,07:16:00,07:16:00,325,2,0,0
16775543,07:17:00,07:17:00,332,3,0,0
16775543,07:19:00,07:19:00,338,4,0,0
16775543,07:19:00,07:19:00,340,5,0,0
16775543,07:22:00,07:22:00,7973,6,0,0
16775543,08:47:00,08:47:00,5213,7,0,0
16775543,08:54:00,08:54:00,5098,8,0,0
16775543,09:01:00,09:01:00,8019,9,0,0
16775543,09:02:00,09:02:00,4864,10,0,0
16775543,09:05:00,09:05:00,4729,11,0,0
16775543,09:08:00,09:08:00,5258,12,0,0
16775543,09:09:00,09:09:00,3975,13,0,0
16775543,09:15:00,09:15:00,3906,14,0,0
16775544,09:30:00,09:30:00,3906,0,0,0
16775544,09:40:00,09:40:00,3913,1,0,0
16775544,09:43:00,09:43:00,3916,2,0,0
16775544,09:47:00,09:47:00,3919,3,0,0
16775544,09:50:00,09:50:00,3922,4,0,0
16775544,09:56:00,09:56:00,3928,5,0,0
16775544,10:12:00,10:12:00,3944,6,0,0
16775544,10:33:00,10:33:00,7194,7,0,0
16775544,10:52:00,10:52:00,7060,8,0,0
16775544,11:16:00,11:16:00,7973,9,0,0
16775544,11:23:00,11:23:00,339,10,0,0
16775544,11:24:00,11:24:00,337,11,0,0
16775544,11:26:00,11:26:00,333,12,0,0
16775544,11:27:00,11:27:00,326,13,0,0
16775544,11:29:00,11:29:00,324,14,0,0
16775544,11:30:00,11:30:00,1,15,0,0
16775545,11:45:00,11:45:00,1,0,0,0
16775545,11:48:00,11:48:00,323,1,0,0
16775545,11:50:00,11:50:00,325,2,0,0
16775545,11:55:00,11:55:00,332,3,0,0
16775545,11:59:00,11:59:00,338,4,0,0
16775545,12:01:00,12:01:00,340,5,0,0
16775545,12:04:00,12:04:00,7973,6,0,0
16775545,12:33:00,12:33:00,7194,7,0,0
16775545,12:50:00,12:50:00,3949,8,0,0
16775545,13:06:00,13:06:00,3963,9,0,0
16775545,13:11:00,13:11:00,3968,10,0,0
16775545,13:14:00,13:14:00,3971,11,0,0
16775545,13:18:00,13:18:00,3974,12,0,0
16775545,13:20:00,13:20:00,3975,13,0,0
16775545,13:30:00,13:30:00,3906,14,0,0
16775546,15:00:00,15:00:00,3906,0,0,0
16775546,15:08:00,15:08:00,3913,1,0,0
16775546,15:13:00,15:13:00,3916,2,0,0
16775546,15:15:00,15:15:00,3919,3,0,0
16775546,15:19:00,15:19:00,3922,4,0,0
16775546,15:28:00,15:28:00,3928,5,0,0
16775546,15:44:00,15:44:00,3944,6,0,0
16775546,16:02:00,16:02:00,7194,7,0,0
16775546,16:35:00,16:35:00,7973,8,0,0
16775546,16:40:00,16:40:00,339,9,0,0
16775546,16:41:00,16:41:00,337,10,0,0
16775546,16:44:00,16:44:00,333,11,0,0
16775546,16:46:00,16:46:00,326,12,0,0
16775546,16:48:00,16:48:00,324,13,0,0
16775546,16:50:00,16:50:00,1,14,0,0
16775547,17:00:00,17:00:00,1,0,0,0
16775547,17:03:00,17:03:00,323,1,0,0
16775547,17:05:00,17:05:00,325,2,0,0
16775547,17:10:00,17:10:00,332,3,0,0
16775547,17:14:00,17:14:00,338,4,0,0
16775547,17:16:00,17:16:00,340,5,0,0
16775547,17:19:00,17:19:00,7973,6,0,0
16775547,17:48:00,17:48:00,7194,7,0,0
16775547,18:05:00,18:05:00,3949,8,0,0
16775547,18:21:00,18:21:00,3963,9,0,0
16775547,18:26:00,18:26:00,3968,10,0,0
16775547,18:29:00,18:29:00,3971,11,0,0
16775547,18:33:00,18:33:00,3974,12,0,0
16775547,18:35:00,18:35:00,3975,13,0,0
16775547,18:45:00,18:45:00,3906,14,0,0
16775548,05:55:00,05:55:00,7994,0,0,0
16775548,05:58:00,05:58:00,5683,1,0,0
16775548,06:09:00,06:09:00,5602,2,0,0
16775548,06:11:00,06:11:00,5847,3,0,0
