table_name,field_name,language,translation,record_id
routes,route_long_name,el,Λευκωσία - Πάφος,50000011
routes,route_long_name,el,Πάφος - Λευκωσία,50000012
routes,route_long_name,el,Λευκωσία - Χοιροκοιτία - Πάφος,50000021
routes,route_long_name,el,Πάφος - Χοιροκοιτία - Λευκωσία,50000022
routes,route_long_name,el,Λευκωσία - Άγιος Γεώργιος Χαβούζας - Ερήμη - ΑΗΚ - ΤΕΠΑΚ - Πάφος,50000031
routes,route_long_name,el,Λευκωσία - Αλάμπρα - Πάφος,50000041
routes,route_long_name,el,Πάφος - Αλάμπρα - Λευκωσία,50000042
routes,route_long_name,el,Λευκωσία - Αλάμπρα - Χοιροκοιτία - Άγ. Γεώργιος Χαβούζας - Ερήμη - ΑΗΚ - Πάφος,50000051
routes,route_long_name,el,Πάφος - ΤΕΠΑΚ - ΑΗΚ - Λευκωσία,50000052
routes,route_long_name,el,Λ. Ακρίτα - Λευκωσία - Πάφος,50000061
routes,route_long_name,el,Πάφος - Λευκωσία - Λ. Ακρίτα,50000062
routes,route_long_name,el,Λευκωσία - ΤΕΠΑΚ - Πάφος,50000071
routes,route_long_name,el,Πάφος - ΤΕΠΑΚ - Λευκωσία,50000072
routes,route_long_name,el,Λευκωσία - Άγιος Γεώργιος Χαβούζας - Πάφος,50000081
routes,route_long_name,el,Λευκωσία - Αγία Νάπα - Παραλίμνι,50010011
routes,route_long_name,el,Παραλίμνι - Αγία Νάπα - Λευκωσία,50010012
routes,route_long_name,el,Λευκωσία - Αγία Νάπα - Πρωταράς - Παραλίμνι,50010021
routes,route_long_name,el,Παραλίμνι - Πρωταράς - Αγία Νάπα - Λευκωσία,50010022
routes,route_long_name,el,Λευκωσία - Αλάμπρα - Παραλίμνι,50010031
routes,route_long_name,el,Παραλίμνι - Πρωταράς - Αλάμπρα - Λευκωσία,50010032
routes,route_long_name,el,Παραλίμνι - Αγία Νάπα - Αλάμπρα - Λευκωσία,50010042
routes,route_long_name,el,Παραλίμνι - Υδροπάρκο - Ορμήδεια - Λευκωσία (εκτός Γεν. Νοσ.),50010052
routes,route_long_name,el,Λευκωσία - Ορμήδεια - Αγία Νάπα - Παραλίμνι,50010061
routes,route_long_name,el,Παραλίμνι - Αγία Νάπα - Ορμήδεια - Λευκωσία,50010062
routes,route_long_name,el,Λευκωσία - Υπουργεία - Ορμήδεια - Παραλίμνι,50010071
routes,route_long_name,el,Παραλίμνι - Ορμήδεια - Υπουργεία - Λευκωσία,50010072
routes,route_long_name,el,Λάρνακα - Αγία Νάπα - Παραλίμνι,50020011
routes,route_long_name,el,Παραλίμνι - Αγία Νάπα - Λάρνακα,50020012
routes,route_long_name,el,Λεμεσός - Πάφος,50030011
routes,route_long_name,el,Πάφος - Λεμεσός,50030012
routes,route_long_name,el,Λεμεσός - Ερήμη- Πάφος,50030021
routes,route_long_name,el,Πάφος - Ερήμη - Λεμεσός,50030022
routes,route_long_name,el,Πάφος - ΑΗΚ - Ερήμη - Λεμεσός,50030032
routes,route_long_name,el,Λεμεσός - ΤΕΠΑΚ - Πάφος,50030041
routes,route_long_name,el,Πάφος - ΤΕΠΑΚ - Λεμεσός,50030042
routes,route_long_name,el,Λάρνακα - Λεμεσός,50040011
routes,route_long_name,el,Λεμεσός - Λάρνακα,50040012
routes,route_long_name,el,Παραλίμνι - Αγία Νάπα - Λάρνακα - Πάφος,50050011
routes,route_long_name,el,Πάφος - Λάρνακα - Αγία Νάπα - Παραλίμνι,50050012
routes,route_long_name,el,Πάφος - St. Raphael - Λάρνακα - Αγία Νάπα - Παραλίμνι,50050022
routes,route_long_name,el,Λευκωσία - Λεμεσός,50060011
routes,route_long_name,el,Λεμεσός - Λευκωσία,50060012
routes,route_long_name,el,Λευκωσία - Αλαμπρα - Λεμεσός,50060021
routes,route_long_name,el,Λεμεσός - Αλάμπρα - Λευκωσία,50060022
routes,route_long_name,el,Λευκωσία Προεδρ.- Βόρεια Λεμεσός,50060031
routes,route_long_name,el,Βόρεια Λεμεσός - Προεδρ. Λευκωσία,50060032
routes,route_long_name,el,Λευκωσία- Βόρεια Λεμεσός,50060041
routes,route_long_name,el,Βόρεια Λεμεσός - Λευκωσία,50060042
routes,route_long_name,el,Λάρνακα - Λευκωσία,50070011
routes,route_long_name,el,Λευκωσία - Λάρνακα,50070012
routes,route_long_name,el,Λάρνακα (Άγιος Γεώργιος) - Λευκωσία,50070021
routes,route_long_name,el,Λευκωσία - Λάρνακα (Άγιος Γεώργιος),50070022
routes,route_long_name,el,Λάρνακα - Αλάμπρα - Λευκωσία,50070031
routes,route_long_name,el,Λευκωσία - Αλάμπρα - Λάρνακα,50070032
routes,route_long_name,el,Λάρνακα (Λιμάνι) - Προεδρικό Μέγαρο - Λευκωσία,50070041
routes,route_long_name,el,Λευκωσία - Προεδρικό Μέγαρο - Λάρνακα,50070042
routes,route_long_name,el,Λάρνακα - Πανεπιστήμιο Κύπρου - Λευκωσία,50070051
routes,route_long_name,el,Λευκωσία - Πανεπιστήμιο Κύπρου - Λάρνακα,50070052
routes,route_long_name,el,Λάρνακα - Υπουργείο Οικονομικών - Λευκωσία,50070061
routes,route_long_name,el,Λάρνακα - Λεμεσός - Πάφος,50080011
routes,route_long_name,el,Πάφος - Λεμεσός - Λάρνακα,50080012
routes,route_long_name,el,Λάρνακα - Λεμεσός - ΤΕΠΑΚ - Πάφος,50080021
routes,route_long_name,el,Λάρνακα - Πάφος,50090011
routes,route_long_name,el,Πάφος - Λάρνακα,50090012
routes,route_long_name,el,Παραλίμνι - Αγία Νάπα - Λεμεσός,50100011
routes,route_long_name,el,Λεμεσός - Αγία Νάπα - Παραλίμνι,50100012
stops,stop_name,el,Τεχνική Σχολή Γ Λευκωσίας,332
stops,stop_desc,el,ΤΕΧΝ.ΣΧΟΛΗ,332
stops,stop_name,el,Νεολιθικός Οικισμός Χοιροκοιτίας (ΟΑΣΙΣ) ,7194
stops,stop_desc,el,ΝεοΟικΧοι2,7194
stops,stop_name,el,Λεωφ. Αμμοχώστου - Θέτιδος,6556
stops,stop_desc,el,ΛεΑμ-Θε,6556
stops,stop_name,el,Ξενοδοχείο Princess 2,6417
stops,stop_desc,el,ΞενοδPrinc,6417
stops,stop_name,el,Σπύρου Αραούζου - Χώρος Στάθμευσης Μόλου,3974
stops,stop_desc,el,ΣπΑρ-ΧΣτΜ,3974
stops,stop_name,el,Λεωφ. Κρύου Νερού - Ξενοδοχείο Marina 2,5602
stops,stop_desc,el,ΚΝ-ΞεMa,5602
stops,stop_name,el,Λεωφ. Ελευθερίας - Λεωφ. Ελλάδος,6869
stops,stop_desc,el,ΛεΕλ-ΛεΕλ,6869
