route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
50060042,22528,16775542,NICOSIA,50060042,1
50060041,22528,16775543,NORTH LIMASSOL,50060041,0
50060022,22528,16775544,NICOSIA,50060022,1
50060011,22528,16775545,LIMASSOL,50060011,0
50060012,22528,16775546,NICOSIA,50060012,1
50060011,22528,16775547,LIMASSOL,50060011,0
50020012,22528,16775548,LARNACA,50020012,1
50020011,22528,16775549,AG.NAPA-PARALIMNI,50020011,0
50020012,22528,16775550,LARNACA,50020012,1
50020011,22528,16775551,AG.NAPA-PARALIMNI,50020011,0
50020011,22528,16775552,AG.NAPA-PARALIMNI,50020011,0
50020012,22528,16775553,LARNACA,50020012,1
50020011,22528,16775554,AG.NAPA-PARALIMNI,50020011,0
50020012,22528,16775555,LARNACA,50020012,1
50020011,22528,16775556,AG.NAPA-PARALIMNI,50020011,0
50020012,22528,16775557,LARNACA,50020012,1
50010042,22528,16775558,NICOSIA,50010042,1
50010031,22528,16775559,PARALIMNI,50010031,0
50010012,22528,16775560,NICOSIA,50010012,1
50010031,22528,16775561,PARALIMNI,50010031,0
50010012,22528,16775562,NICOSIA,50010012,1
50010011,22528,16775563,AG.NAPA-PARALIMNI,50010011,0
50070011,22528,16775564,NICOSIA,50070011,0
50070012,22528,16775565,LARNACA,50070012,1
50070011,22528,16775566,NICOSIA,50070011,0
50070012,22528,16775567,LARNACA,50070012,1
50070031,22528,16775568,NICOSIA,50070031,0
50070032,22528,16775569,LARNACA,50070032,1
50070012,22528,16775570,LARNACA,50070012,1
50070011,22528,16775571,NICOSIA,50070011,0
50000011,22528,16775572,PAFOS,50000011,0
50000012,22528,16775573,NICOSIA,50000012,1
50000011,22528,16775574,PAFOS,50000011,0
50000012,22528,16775575,NICOSIA,50000012,1
50060011,22528,16775576,LIMASSOL,50060011,0
50060012,22528,16775577,NICOSIA,50060012,1
50060011,22528,16775578,LIMASSOL,50060011,0
50060022,22528,16775579,NICOSIA,50060022,1
50060012,22528,16775580,NICOSIA,50060012,1
50060011,22528,16775581,LIMASSOL,50060011,0
50060012,22528,16775582,NICOSIA,50060012,1
50060021,22528,16775583,LIMASSOL,50060021,0
50010012,22528,16775584,NICOSIA,50010012,1
50010011,22528,16775585,AG.NAPA-PARALIMNI,50010011,0
50010012,22528,16775586,NICOSIA,50010012,1
50010011,22528,16775587,AG.NAPA-PARALIMNI,50010011,0
50040012,22528,16775588,LARNACA,50040012,1
50040011,22528,16775589,LIMASSOL,50040011,0
50070031,22528,16775590,NICOSIA,50070031,0
50070032,22528,16775591,LARNACA,50070032,1
50070011,22528,16775592,NICOSIA,50070011,0
50070012,22528,16775593,LARNACA,50070012,1
50070011,22528,16775594,NICOSIA,50070011,0
50070012,22528,16775595,LARNACA,50070012,1
50040011,22528,16775596,LIMASSOL,50040011,0
50040012,22528,16775597,LARNACA,50040012,1
50040011,22528,16775598,LIMASSOL,50040011,0
50040012,22528,16775599,LARNACA,50040012,1
50050011,22528,16775600,PAFOS,50050011,0
50050012,22528,16775601,PARALIMNI,50050012,1
50020012,22528,16775602,LARNACA,50020012,1
50020011,22528,16775603,AG.NAPA-PARALIMNI,50020011,0
50020012,22528,16775604,LARNACA,50020012,1
50020011,22528,16775605,AG.NAPA-PARALIMNI,50020011,0
50060012,22528,16775606,NICOSIA,50060012,1
50060021,22528,16775607,LIMASSOL,50060021,0
50040011,22528,16775608,LIMASSOL,50040011,0
50040012,22528,16775609,LARNACA,50040012,1
50040011,22528,16775610,LIMASSOL,50040011,0
50040012,22528,16775611,LARNACA,50040012,1
50060011,22528,16775612,LIMASSOL,50060011,0
50060012,22528,16775613,NICOSIA,50060012,1
50060011,22528,16775614,LIMASSOL,50060011,0
50060012,22528,16775615,NICOSIA,50060012,1
50010022,22528,16775616,NICOSIA,50010022,1
50010021,22528,16775617,AG.NAPA-PARALIMNI,50010021,0
50010012,22528,16775618,NICOSIA,50010012,1
50010021,22528,16775619,AG.NAPA-PARALIMNI,50010021,0
50000042,22528,16775620,NICOSIA,50000042,1
50000011,22528,16775621,PAFOS,50000011,0
50000012,22528,16775622,NICOSIA,50000012,1
50000011,22528,16775623,PAFOS,50000011,0
50030012,22528,16775624,LIMASSOL,50030012,1
50030011,22528,16775625,PAFOS,50030011,0
50030012,22528,16775626,LIMASSOL,50030012,1
50030011,22528,16775627,PAFOS,50030011,0
50030012,22528,16775628,LIMASSOL,50030012,1
50030011,22528,16775629,PAFOS,50030011,0
50030011,22528,16775630,PAFOS,50030011,0
50030012,22528,16775631,LIMASSOL,50030012,1
50030011,22528,16775632,PAFOS,50030011,0
50030012,22528,16775633,LIMASSOL,50030012,1
50030011,22528,16775634,PAFOS,50030011,0
50030012,22528,16775635,LIMASSOL,50030012,1
50030012,22528,16775636,LIMASSOL,50030012,1
50030011,22528,16775637,PAFOS,50030011,0
50030012,22528,16775638,LIMASSOL,50030012,1
50030011,22528,16775639,PAFOS,50030011,0
50030012,22528,16775640,LIMASSOL,50030012,1
50030011,22528,16775641,PAFOS,50030011,0
50040011,22528,16775642,LIMASSOL,50040011,0
50040012,22528,16775643,LARNACA,50040012,1
50070011,22528,16775644,NICOSIA,50070011,0
50070012,22528,16775645,LARNACA,50070012,1
50070011,22528,16775646,NICOSIA,50070011,0
50070012,22528,16775647,LARNACA,50070012,1
50070011,22528,16775648,NICOSIA,50070011,0
50070012,22528,16775649,LARNACA,50070012,1
50070012,22528,16775650,LARNACA,50070012,1
50070011,22528,16775651,NICOSIA,50070011,0
50070012,22528,16775652,LARNACA,50070012,1
50070011,22528,16775653,NICOSIA,50070011,0
50070012,22528,16775654,LARNACA,50070012,1
50070011,22528,16775655,NICOSIA,50070011,0
50000041,22528,16775656,PAPHOS,50000041,0
50000012,22528,16775657,NICOSIA,50000012,1
50030012,22528,16775658,LIMASSOL,50030012,1
50030011,22528,16775659,PAFOS,50030011,0
50030012,22528,16775660,LIMASSOL,50030012,1
50030011,22528,16775661,PAFOS,50030011,0
