route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
20260011,22663,16892376,KOFINOU ST.,20260011,0
20260012,22663,16892377,MARI,20260012,1
20260011,22663,16892378,KOFINOU ST.,20260011,0
20260012,22663,16892379,MARI,20260012,1
20280011,22663,16892380,KOFINOU STATION,20280011,0
20280012,22663,16892381,ODOU,20280012,1
20280011,22663,16892382,KOFINOU STATION,20280011,0
20280012,22663,16892383,ODOU,20280012,1
20280011,22663,16892384,KOFINOU STATION,20280011,0
20280012,22663,16892385,ODOU,20280012,1
20280011,22663,16892386,KOFINOU STATION,20280011,0
20280012,22663,16892387,ODOU,20280012,1
20340011,22663,16892388,KOFINOU ST.,20340011,0
20340012,22663,16892389,LARNACA ST.,20340012,1
20340011,22663,16892390,KOFINOU ST.,20340011,0
20340012,22663,16892391,LARNACA ST.,20340012,1
20340011,22663,16892392,KOFINOU ST.,20340011,0
20340012,22663,16892393,LARNACA ST.,20340012,1
20340011,22663,16892394,KOFINOU ST.,20340011,0
20340012,22663,16892395,LARNACA ST.,20340012,1
20080021,22663,16892396,Kamares-TradeZone,20080021,0
20080021,22663,16892397,Kamares-TradeZone,20080021,0
20090011,22663,16892398,VERGINA,20090011,0
20090012,22663,16892399,LARNACA STATION,20090012,1
20290011,22663,16892400,KOFINOU ST.,20290011,0
20290012,22663,16892401,AGIOI VAVATSINIAS,20290012,1
20290011,22663,16892402,KOFINOU ST.,20290011,0
20290012,22663,16892403,AGIOI VAVATSINIAS,20290012,1
20290011,22663,16892404,KOFINOU ST.,20290011,0
20290012,22663,16892405,AGIOI VAVATSINIAS,20290012,1
20290011,22663,16892406,KOFINOU ST.,20290011,0
20290012,22663,16892407,AGIOI VAVATSINIAS,20290012,1
20300021,22663,16892408,Alampra Station,20300021,0
20300022,22663,16892409,Vavatsinia,20300022,1
20300021,22663,16892410,Alampra Station,20300021,0
20300022,22663,16892411,Vavatsinia,20300022,1
20300021,22663,16892412,Alampra Station,20300021,0
20300022,22663,16892413,Vavatsinia,20300022,1
20300021,22663,16892414,Alampra Station,20300021,0
20300022,22663,16892415,Vavatsinia,20300022,1
20060011,22663,16892416,TERSEFANOU,20060011,0
20060012,22663,16892417,LARNACA STATION,20060012,1
20270011,22663,16892418,KOFINOU STATION,20270011,0
20270012,22663,16892419,MARONI,20270012,1
20270011,22663,16892420,KOFINOU STATION,20270011,0
20270012,22663,16892421,MARONI,20270012,1
20070011,22663,16892422,KALO CHORIO,20070011,0
20070022,22663,16892423,Larnaca Station,20070022,1
20070011,22663,16892424,KALO CHORIO,20070011,0
20070012,22663,16892425,LARNACA STATION,20070012,1
20320011,22663,16892426,KOFINOU STATION,20320011,0
20320012,22663,16892427,PENTASCHINOS,20320012,1
20320011,22663,16892428,KOFINOU STATION,20320011,0
20320012,22663,16892429,PENTASCHINOS,20320012,1
20320011,22663,16892430,KOFINOU STATION,20320011,0
20320012,22663,16892431,PENTASCHINOS,20320012,1
20320011,22663,16892432,KOFINOU STATION,20320011,0
20320012,22663,16892433,PENTASCHINOS,20320012,1
20320011,22663,16892434,KOFINOU STATION,20320011,0
20330012,22663,16892435,LARNACA STATION,20330012,1
20330011,22663,16892436,ZYGI,20330011,0
20330012,22663,16892437,LARNACA STATION,20330012,1
20380052,22663,16892438,Larnaca station,20380052,1
20380041,22663,16892439,Kofinou Station,20380041,0
20380042,22663,16892440,Larnaca Station,20380042,1
20390051,22663,16892441,Larnaca Station,20390051,0
20390032,22663,16892442, Kofinou Station,20390032,1
20390031,22663,16892443,Larnaca Station,20390031,0
20390052,22663,16892444,Kofinou Station,20390052,1
20000011,22663,16892445,Pervolia,20000011,0
20000012,22663,16892446,Larnaca Station,20000012,1
20030011,22663,16892447,DROMOLAXIA,20030011,0
20030012,22663,16892448,Larnaca Station,20030012,1
20080021,22663,16892449,Kamares-TradeZone,20080021,0
20080021,22663,16892450,Kamares-TradeZone,20080021,0
20120041,22663,16892451,Pyla,20120041,0
20120022,22663,16892452,LARNACA STATION,20120022,1
20160011,22663,16892453,ARADIPPOU,20160011,0
20160012,22663,16892454,LARNACA STATION,20160012,1
20170011,22663,16892455,LARNACA STATION,20170011,0
20170011,22663,16892456,LARNACA STATION,20170011,0
20170011,22663,16892457,LARNACA STATION,20170011,0
20190011,22663,16892458,FAROS,20190011,0
20190012,22663,16892459,Larnaca Station,20190012,1
20190011,22663,16892460,FAROS,20190011,0
20190022,22663,16892461,LARNACA STATION,20190022,1
20190011,22663,16892462,FAROS,20190011,0
20190022,22663,16892463,LARNACA STATION,20190022,1
20190011,22663,16892464,FAROS,20190011,0
20190022,22663,16892465,LARNACA STATION,20190022,1
20370022,22663,16892466,LARNACA STATION,20370022,1
20370011,22663,16892467,DELIKIPOS,20370011,0
20370012,22663,16892468,LARNACA ST.,20370012,1
20370011,22663,16892469,DELIKIPOS,20370011,0
20370012,22663,16892470,LARNACA ST.,20370012,1
20370021,22663,16892471,DELIKIPOS,20370021,0
20040011,22663,16892472,Troulloi,20040011,0
20040012,22663,16892473,Larnaca Station,20040012,1
20040011,22663,16892474,Troulloi,20040011,0
20040012,22663,16892475,Larnaca Station,20040012,1
20040011,22663,16892476,Troulloi,20040011,0
20040012,22663,16892477,Larnaca Station,20040012,1
20110011,22663,16892478,MALL via Drosia,20110011,0
20110012,22663,16892479,LARNACA STATION,20110012,1
20110011,22663,16892480,MALL via Drosia,20110011,0
20110012,22663,16892481,LARNACA STATION,20110012,1
20150021,22663,16892482,AIRPORT,20150021,0
20150012,22663,16892483,DEKELEIA,20150012,1
20150011,22663,16892484,AIRPORT,20150011,0
20150012,22663,16892485,DEKELEIA,20150012,1
20150011,22663,16892486,AIRPORT,20150011,0
20150012,22663,16892487,DEKELEIA,20150012,1
20150011,22663,16892488,AIRPORT,20150011,0
20360022,22663,16892489,Larnaca Station,20360022,1
20360011,22663,16892490,Alampra Station,20360011,0
20360012,22663,16892491,Larnaca Station,20360012,1
20360021,22663,16892492,Alampra Station,20360021,0
20360012,22663,16892493,Larnaca Station,20360012,1
20360011,22663,16892494,Alampra Station,20360011,0
20010021,22663,16892495,Aradippou,20010021,0
20010022,22663,16892496,Larnaca Station,20010022,1
20010021,22663,16892497,Aradippou,20010021,0
20010022,22663,16892498,Larnaca Station,20010022,1
20050011,22663,16892499,OROKLINI,20050011,0
20050012,22663,16892500,Larnaca Station,20050012,1
20050011,22663,16892501,OROKLINI,20050011,0
20050012,22663,16892502,Larnaca Station,20050012,1
20090011,22663,16892503,VERGINA,20090011,0
20090012,22663,16892504,LARNACA STATION,20090012,1
20100021,22663,16892505,Livadia,20100021,0
20350011,22663,16892506,RIZOELIA,20350011,0
20350012,22663,16892507,KOFINOU STATION,20350012,1
20410021,22663,16892508,Larnaca Station,20410021,0
20410012,22663,16892509,ATHIENOU,20410012,1
20410011,22663,16892510,LARNACA ST.,20410011,0
20410012,22663,16892511,ATHIENOU,20410012,1
20410011,22663,16892512,LARNACA ST.,20410011,0
20410022,22663,16892513,Athienou,20410022,1
20170011,22663,16892514,LARNACA STATION,20170011,0
20170011,22663,16892515,LARNACA STATION,20170011,0
20170011,22663,16892516,LARNACA STATION,20170011,0
20150021,22663,16892517,AIRPORT,20150021,0
20150012,22663,16892518,DEKELEIA,20150012,1
20150011,22663,16892519,AIRPORT,20150011,0
20150012,22663,16892520,DEKELEIA,20150012,1
20150011,22663,16892521,AIRPORT,20150011,0
20150012,22663,16892522,DEKELEIA,20150012,1
20150011,22663,16892523,AIRPORT,20150011,0
20150012,22663,16892524,DEKELEIA,20150012,1
20150031,22663,16892525,LARNACA STATION,20150031,0
20180011,22663,16892526,RIZOELIA,20180011,0
20180012,22663,16892527,Larnaca Station,20180012,1
20180011,22663,16892528,RIZOELIA,20180011,0
20180012,22663,16892529,Larnaca Station,20180012,1
20180011,22663,16892530,RIZOELIA,20180011,0
20180012,22663,16892531,Larnaca Station,20180012,1
20180011,22663,16892532,RIZOELIA,20180011,0
20180012,22663,16892533,Larnaca Station,20180012,1
20120041,22663,16892534,Pyla,20120041,0
20120042,22663,16892535,Larnaca,20120042,1
20170011,22663,16892536,LARNACA STATION,20170011,0
20170011,22663,16892537,LARNACA STATION,20170011,0
20030011,22663,16892538,DROMOLAXIA,20030011,0
20030012,22663,16892539,Larnaca Station,20030012,1
20030011,22663,16892540,DROMOLAXIA,20030011,0
20030012,22663,16892541,Larnaca Station,20030012,1
20030011,22663,16892542,DROMOLAXIA,20030011,0
20030012,22663,16892543,Larnaca Station,20030012,1
20030011,22663,16892544,DROMOLAXIA,20030011,0
20030012,22663,16892545,Larnaca Station,20030012,1
20150021,22663,16892546,AIRPORT,20150021,0
20150012,22663,16892547,DEKELEIA,20150012,1
20150011,22663,16892548,AIRPORT,20150011,0
20150012,22663,16892549,DEKELEIA,20150012,1
20150011,22663,16892550,AIRPORT,20150011,0
20150012,22663,16892551,DEKELEIA,20150012,1
20150011,22663,16892552,AIRPORT,20150011,0
20150012,22663,16892553,DEKELEIA,20150012,1
20150031,22663,16892554,LARNACA STATION,20150031,0
20060011,22663,16892555,TERSEFANOU,20060011,0
20060012,22663,16892556,LARNACA STATION,20060012,1
20080021,22663,16892557,Kamares-TradeZone,20080021,0
