route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
4050011,22657,16881796,NICOSIA/KOLOKASI,4050011,0
4050012,22657,16881797,KAKOPETRIA,4050012,1
4050041,22657,16881798,Makario Stadium B,4050041,0
740012,22657,16881799,Anthoupoli,740012,1
740011,22657,16881800,Kokkinotrimithia,740011,0
740012,22657,16881801,Anthoupoli,740012,1
740011,22657,16881802,Kokkinotrimithia,740011,0
740012,22657,16881803,Anthoupoli,740012,1
740011,22657,16881804,Kokkinotrimithia,740011,0
740012,22657,16881805,Anthoupoli,740012,1
740011,22657,16881806,Kokkinotrimithia,740011,0
740012,22657,16881807,Anthoupoli,740012,1
740011,22657,16881808,Kokkinotrimithia,740011,0
740012,22657,16881809,Anthoupoli,740012,1
740011,22657,16881810,Kokkinotrimithia,740011,0
740012,22657,16881811,Anthoupoli,740012,1
740011,22657,16881812,Kokkinotrimithia,740011,0
520022,22657,16881813,Potamia,520022,1
520021,22657,16881814,Alampra Station,520021,0
650011,22657,16881815,Tamasos Bus St.,650011,0
650012,22657,16881816, Kampi,650012,1
770011,22657,16881817,Astromeritis,770011,0
770012,22657,16881818,Nikitari,770012,1
770011,22657,16881819,Astromeritis,770011,0
770012,22657,16881820,Nikitari,770012,1
770011,22657,16881821,Astromeritis,770011,0
770012,22657,16881822,Nikitari,770012,1
770011,22657,16881823,Astromeritis,770011,0
770012,22657,16881824,Nikitari,770012,1
770011,22657,16881825,Astromeritis,770011,0
770012,22657,16881826,Nikitari,770012,1
630032,22657,16881827,Fterikoudi,630032,1
630031,22657,16881828,Tamasos Station,630031,0
710012,22657,16881829,Mammari,710012,1
710011,22657,16881830,Kokkinotrimithia,710011,0
710012,22657,16881831,Mammari,710012,1
710011,22657,16881832,Kokkinotrimithia,710011,0
710012,22657,16881833,Mammari,710012,1
710011,22657,16881834,Kokkinotrimithia,710011,0
840012,22657,16881835,Galata,840012,1
840011,22657,16881836,Evrychou,840011,0
840012,22657,16881837,Galata,840012,1
840011,22657,16881838,Evrychou,840011,0
840012,22657,16881839,Galata,840012,1
840011,22657,16881840,Evrychou,840011,0
840012,22657,16881841,Galata,840012,1
840011,22657,16881842,Evrychou,840011,0
840012,22657,16881843,Galata,840012,1
840011,22657,16881844,Evrychou,840011,0
840012,22657,16881845,Galata,840012,1
840011,22657,16881846,Evrychou,840011,0
840022,22657,16881847,Kaliana - Galata,840022,1
840011,22657,16881848,Evrychou,840011,0
510012,22657,16881849,Sia,510012,1
510011,22657,16881850,Alampra Bus St.,510011,0
520021,22657,16881851,Alampra Station,520021,0
520022,22657,16881852,Potamia,520022,1
540012,22657,16881853,Lythrodontas,540012,1
540011,22657,16881854,Alampra Bus St.,540011,0
540012,22657,16881855,Lythrodontas,540012,1
540011,22657,16881856,Alampra Bus St.,540011,0
540012,22657,16881857,Lythrodontas,540012,1
540011,22657,16881858,Alampra Bus St.,540011,0
620011,22657,16881859,Tamasos Bus St.,620011,0
620012,22657,16881860,Palaichori,620012,1
760011,22657,16881861,Peristerona,760011,0
760012,22657,16881862,Xyliatos,760012,1
760011,22657,16881863,Peristerona,760011,0
760012,22657,16881864,Xyliatos,760012,1
760011,22657,16881865,Peristerona,760011,0
760012,22657,16881866,Xyliatos,760012,1
760011,22657,16881867,Peristerona,760011,0
760012,22657,16881868,Xyliatos,760012,1
650012,22657,16881869, Kampi,650012,1
650011,22657,16881870,Tamasos Bus St.,650011,0
4050011,22657,16881871,NICOSIA/KOLOKASI,4050011,0
4050012,22657,16881872,KAKOPETRIA,4050012,1
4050041,22657,16881873,Makario Stadium B,4050041,0
4050042,22657,16881874,Kakopetria,4050042,1
730012,22657,16881875,Paliometocho Setl,730012,1
730011,22657,16881876,Kokkinotrimithia,730011,0
730012,22657,16881877,Paliometocho Setl,730012,1
730011,22657,16881878,Kokkinotrimithia,730011,0
730012,22657,16881879,Paliometocho Setl,730012,1
730011,22657,16881880,Kokkinotrimithia,730011,0
730012,22657,16881881,Paliometocho Setl,730012,1
730011,22657,16881882,Kokkinotrimithia,730011,0
730012,22657,16881883,Paliometocho Setl,730012,1
7000011,22657,16881884,General Hospital,7000011,0
7000012,22657,16881885,Chandria,7000012,1
7000011,22657,16881886,General Hospital,7000011,0
7000012,22657,16881887,Chandria,7000012,1
1680011,22657,16881888,Deftera,1680011,0
610011,22657,16881889,Tamasos Bus St.,610011,0
610012,22657,16881890,Alithinou,610012,1
5030011,22657,16881891,Solomou Sq.,5030011,0
5030012,22657,16881892,Alampra Bus St.,5030012,1
5030011,22657,16881893,Solomou Sq.,5030011,0
5030012,22657,16881894,Alampra Bus St.,5030012,1
5030011,22657,16881895,Solomou Sq.,5030011,0
5030012,22657,16881896,Alampra Bus St.,5030012,1
520022,22657,16881897,Potamia,520022,1
520021,22657,16881898,Alampra Station,520021,0
230031,22657,16881899,Tseri/Strovolos,230031,0
230031,22657,16881900,Tseri/Strovolos,230031,0
230031,22657,16881901,Tseri/Strovolos,230031,0
230031,22657,16881902,Tseri/Strovolos,230031,0
310031,22657,16881903,Solomou Square,310031,0
310031,22657,16881904,Solomou Square,310031,0
310031,22657,16881905,Solomou Square,310031,0
310031,22657,16881906,Solomou Square,310031,0
310031,22657,16881907,Solomou Square,310031,0
250011,22657,16881908,Gen. Hospital Bus,250011,0
410011,22657,16881909,Univ. of Cyprus,410011,0
410012,22657,16881910,Makario Stadium,410012,1
5020011,22657,16881911,Solomou Sq.,5020011,0
5020012,22657,16881912,Tamasou Bus St.,5020012,1
