route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
40090011,22358,16638021,AGIA NAPA,40090011,0
40070011,22358,16638022,PARALIMNI,40070011,0
40150011,22358,16638023,LARNAKA,40150011,0
40150012,22358,16638024,CENTRAL BUS ST.,40150012,1
40010011,22358,16638025,AG. NAPA (W/PARK),40010011,0
40110011,22358,16638026,KONNOS,40110011,0
40110012,22358,16638027,XYLOTYMPOU,40110012,1
40110011,22358,16638028,KONNOS,40110011,0
40120011,22358,16638029,KONNOS,40120011,0
40100011,22358,16638030,AGIA NAPA,40100011,0
40100011,22358,16638031,AGIA NAPA,40100011,0
40130011,22358,16638032,AGIA NAPA,40130011,0
40080011,22358,16638033,KONNOS,40080011,0
40080012,22358,16638034,E.A.C. DHEKELIA,40080012,1
40080011,22358,16638035,KONNOS,40080011,0
40180011,22358,16638036,AGIA THEKLA BEACH,40180011,0
40160011,22358,16638037,LARNAKA,40160011,0
40160012,22358,16638038,PARALIMNI SQ. BUS,40160012,1
40140011,22358,16638039,AGIA NAPA,40140011,0
40140012,22358,16638040,DERYNEIA,40140012,1
40140011,22358,16638041,AGIA NAPA,40140011,0
40280011,22358,16638042,LARNAKA,40280011,0
40040011,22358,16638043,DERYNEIA,40040011,0
40040011,22358,16638044,DERYNEIA,40040011,0
40250012,22358,16638045,XYLOFAGOU,40250012,1
40000011,22358,16638046,PARALIMNI,40000011,0
40000011,22358,16638047,PARALIMNI,40000011,0
40000011,22358,16638048,PARALIMNI,40000011,0
40110011,22358,16638049,KONNOS,40110011,0
40090011,22358,16638050,AGIA NAPA,40090011,0
40090012,22358,16638051,E.A.C. DHEKELIA,40090012,1
40000011,22358,16638052,PARALIMNI,40000011,0
40000011,22358,16638053,PARALIMNI,40000011,0
40010011,22358,16638054,AG. NAPA (W/PARK),40010011,0
40010011,22358,16638055,AG. NAPA (W/PARK),40010011,0
40010011,22358,16638056,AG. NAPA (W/PARK),40010011,0
40070011,22358,16638057,PARALIMNI,40070011,0
40130011,22358,16638058,AGIA NAPA,40130011,0
40130012,22358,16638059,STROVILIA,40130012,1
40080011,22358,16638060,KONNOS,40080011,0
40100011,22358,16638061,AGIA NAPA,40100011,0
40120011,22358,16638062,KONNOS,40120011,0
40260011,22358,16638063,GENERAL HOSPITAL,40260011,0
40260012,22358,16638064,XYLOFAGOU,40260012,1
40010011,22358,16638065,AG. NAPA (W/PARK),40010011,0
40010011,22358,16638066,AG. NAPA (W/PARK),40010011,0
40010011,22358,16638067,AG. NAPA (W/PARK),40010011,0
40020011,22358,16638068,WEST CIRCLE LINE,40020011,0
40020011,22358,16638069,WEST CIRCLE LINE,40020011,0
40020011,22358,16638070,WEST CIRCLE LINE,40020011,0
40000011,22358,16638071,PARALIMNI,40000011,0
40000011,22358,16638072,PARALIMNI,40000011,0
40050011,22358,16638073,DERYNEIA,40050011,0
40050011,22358,16638074,DERYNEIA,40050011,0
40120012,22358,16638075,STROVILIA,40120012,1
40150011,22358,16638076,LARNAKA,40150011,0
40150012,22358,16638077,CENTRAL BUS ST.,40150012,1
40010011,22358,16638078,AG. NAPA (W/PARK),40010011,0
40010011,22358,16638079,AG. NAPA (W/PARK),40010011,0
40000011,22358,16638080,PARALIMNI,40000011,0
40000011,22358,16638081,PARALIMNI,40000011,0
40100011,22358,16638082,AGIA NAPA,40100011,0
40100012,22358,16638083,DASAKI ACHNAS,40100012,1
40090011,22358,16638084,AGIA NAPA,40090011,0
40010011,22358,16638085,AG. NAPA (W/PARK),40010011,0
40010011,22358,16638086,AG. NAPA (W/PARK),40010011,0
40100012,22358,16638087,DASAKI ACHNAS,40100012,1
40050011,22358,16638088,DERYNEIA,40050011,0
40050011,22358,16638089,DERYNEIA,40050011,0
40040011,22358,16638090,DERYNEIA,40040011,0
40130011,22358,16638091,AGIA NAPA,40130011,0
40130012,22358,16638092,STROVILIA,40130012,1
40130011,22358,16638093,AGIA NAPA,40130011,0
40130012,22358,16638094,STROVILIA,40130012,1
40010011,22358,16638095,AG. NAPA (W/PARK),40010011,0
40010011,22358,16638096,AG. NAPA (W/PARK),40010011,0
40150011,22358,16638097,LARNAKA,40150011,0
40150012,22358,16638098,CENTRAL BUS ST.,40150012,1
40160011,22358,16638099,LARNAKA,40160011,0
40160012,22358,16638100,PARALIMNI SQ. BUS,40160012,1
40000011,22358,16638101,PARALIMNI,40000011,0
40000011,22358,16638102,PARALIMNI,40000011,0
40220011,22358,16638103,EAST CIRCLE LINE,40220011,0
40220011,22358,16638104,EAST CIRCLE LINE,40220011,0
40220011,22358,16638105,EAST CIRCLE LINE,40220011,0
40170011,22358,16638106,LARNAKA,40170011,0
40170012,22358,16638107,PARALIMNI,40170012,1
40030011,22358,16638108,CIRCLE LINE,40030011,0
40030011,22358,16638109,CIRCLE LINE,40030011,0
40030011,22358,16638110,CIRCLE LINE,40030011,0
40030011,22358,16638111,CIRCLE LINE,40030011,0
40030011,22358,16638112,CIRCLE LINE,40030011,0
40000011,22358,16638113,PARALIMNI,40000011,0
40000011,22358,16638114,PARALIMNI,40000011,0
40170012,22358,16638115,PARALIMNI,40170012,1
40170011,22358,16638116,LARNAKA,40170011,0
40170012,22358,16638117,PARALIMNI,40170012,1
40010011,22358,16638118,AG. NAPA (W/PARK),40010011,0
40010011,22358,16638119,AG. NAPA (W/PARK),40010011,0
40050011,22358,16638120,DERYNEIA,40050011,0
40000011,22358,16638121,PARALIMNI,40000011,0
40000011,22358,16638122,PARALIMNI,40000011,0
40120011,22358,16638123,KONNOS,40120011,0
40010011,22358,16638124,AG. NAPA (W/PARK),40010011,0
40010011,22358,16638125,AG. NAPA (W/PARK),40010011,0
40160011,22358,16638126,LARNAKA,40160011,0
40160012,22358,16638127,PARALIMNI SQ. BUS,40160012,1
40040011,22358,16638128,DERYNEIA,40040011,0
40040011,22358,16638129,DERYNEIA,40040011,0
40010011,22358,16638130,AG. NAPA (W/PARK),40010011,0
40000011,22358,16638131,PARALIMNI,40000011,0
40000011,22358,16638132,PARALIMNI,40000011,0
40010011,22358,16638133,AG. NAPA (W/PARK),40010011,0
