table_name,field_name,language,translation,record_id
routes,route_long_name,el,Σταθμός Καραβέλλα - Γεροσκήπου - Τίμη - Αναρίτα - Μανδριά,30000011
routes,route_long_name,el,Μανδριά - Αναρίτα - Τίμη - Γεροσκήπου - Σταθμός Καραβέλλα,30000012
routes,route_long_name,el,Σταθμός Καραβέλλα - Τεχνική Σχολή - Γεροσκήπου - Τίμη - Αναρίτα - Μανδριά,30000021
routes,route_long_name,el,Μανδριά - Αναρίτα - Τίμη - Γεροσκήπου -Τεχνική Σχολή - Σταθμός Καραβέλλα,30000022
routes,route_long_name,el,Σταθμός Καραβέλλα - Νοσοκομείο - Τεχν. Σχολή - Μουσείο - Κυβερνητικά - Σταθμός Καραβέλλα,30010011
routes,route_long_name,el,Σταθμός Καραβέλλα - Κυβερνητικά - Universal - Αγαπήνωρος - Σταθμός Τάφοι των Βασιλέων,30020011
routes,route_long_name,el,Σταθμός Τάφοι των Βασιλέων - Αγαπήνωρος - Universal - Κυβερνητικά - Σταθμός Καραβέλλα,30020012
routes,route_long_name,el,Σταθμός Τάφοι των Βασιλέων - Αγαπήνωρος - Universal - Αλ. Παπάγου (Αλφαμέγα),30030011
routes,route_long_name,el,Αλ. Παπάγου (Αλφαμέγα) - Universal - Αγαπήνωρος - Σταθμός Τάφοι των Βασιλέων,30030012
routes,route_long_name,el,Σταθμός Καραβέλλα - Χλώρακα - Έμπα - Τάλα - Μονή Αγ. Νεοφύτου,30040011
routes,route_long_name,el,Μονή Αγ. Νεοφύτου - Τάλα - Έμπα - Χλώρακα - Σταθμός Καραβέλλα,30040012
routes,route_long_name,el,Γεροσκήπου (Παφιακό) - Παραλία Γεροσκήπου - Ποσειδώνος - Νεάπολις - Kings Av. Mall - Λιμάνι,30050011
routes,route_long_name,el,Λιμάνι - Kings Av. Mall - Νεάπολις - Ποσειδώνος - Παραλία Γεροσκήπου - Γεροσκήπου (Παφιακό),30050012
routes,route_long_name,el,Γεροσκήπου (Παφιακό) - Ποσειδώνος - Kings Av. Mall - Λιμάνι,30050021
routes,route_long_name,el,Λιμάνι - Kings Av. Mall - Ποσειδώνος - Γεροσκήπου (Παφιακό),30050022
routes,route_long_name,el,Σταθμός Καραβέλλα - Χλώρακα - Λέμπα - Κισσόνεργα - Πέγεια,30060011
routes,route_long_name,el,Πέγεια - Κισσόνεργα - Λέμπα - Χλώρακα - Σταθμός Καραβέλλα,30060012
routes,route_long_name,el,Σταθμός Καραβέλλα - Υπηρεσία Αλλοδαπών - Κ.Ε.Π - Νοσοκομείο - Αναβαργός,30070011
routes,route_long_name,el,Αναβαργός - Γενικό Νοσοκομείο - Κ.Ε.Π - Υπηρεσία Αλλοδαπών - Σταθμός Καραβέλλα,30070012
routes,route_long_name,el,Σταθμός Καραβέλλα - Κονιά - Μαραθούντα - Αρμου - Επισκοπή,30080011
routes,route_long_name,el,Επισκοπή - Άρμου - Μαραθούντα - Κονιά - Σταθμός Καραβέλλα,30080012
routes,route_long_name,el,Σταθμός Λιμανιού - Απ. Παύλου - Αγαπήνωρος - Δημοτική Αγορά,30090011
routes,route_long_name,el,Δημοτική Αγορά - Αγαπήνωρος - Απ. Παύλου - Σταθμός Λιμανιού,30090012
routes,route_long_name,el,Σταθμός Λιμανιού - Απ. Παύλου - Σταθμός Τάφοι των Βασιλέων - Αγαπήνωρος - Δημοτική Αγορά,30090021
routes,route_long_name,el,Σταθμός Τάφοι των Βασιλέων - Σταθμός Λιμανιού - Ποσειδώνος- Δημοτική Πλάζ Γεροσκήπου (Waterpark),30100011
routes,route_long_name,el,Δημοτική Πλάζ Γεροσκήπου (Waterpark) - Ποσειδώνος - Σταθμός Λιμανιού - Σταθμός Τάφοι των Βασιλέων,30100012
routes,route_long_name,el,Σταθμός Τάφοι των Βασιλέων - Σταθμός Λιμανιού - Ποσειδώνος- Δημοτική Πλάζ Γεροσκήπου,30100021
routes,route_long_name,el,Δημοτική Πλάζ Γεροσκήπου - Ποσειδώνος - Σταθμός Λιμανιού - Σταθμός Τάφοι των Βασιλέων,30100022
routes,route_long_name,el,Σταθμός Τάφοι των Βασιλέων - Ποσειδώνος - Λύκειο Γιαννάκη Ταλιώτη - Γεροσκήπου - Τίμη - Αεροδρόμιο,30110011
routes,route_long_name,el,Αεροδρόμιο - Τίμη - Γεροσκήπου - Λύκειο Γιαννάκη Ταλιώτη - Ποσειδώνος - Σταθμός Τάφοι των Βασιλέων,30110012
routes,route_long_name,el,Αεροδρόμιο - Τίμη - Γεροσκήπου - Λύκειο Γιαννάκη Ταλιώτη - Ποσειδώνος - Universal - Σταθμός Τάφοι των Βασιλέων,30110022
routes,route_long_name,el,Σταθμός Καραβέλλα - Γεροσκήπου - Αχέλεια - Τίμη - Αεροδρόμιο,30120011
routes,route_long_name,el,Αεροδρόμιο - Τίμη - Αχέλεια - Γεροσκήπου - Σταθμός Καραβέλλα,30120012
routes,route_long_name,el,Σταθμός Καραβέλλα - Τρεμιθούσα - Μεσόγη - Μέσα Χωριό - Τσάδα - Κοίλη,30130011
routes,route_long_name,el,Κοίλη - Τσάδα - Μέσα Χωριό - Μεσόγη - Τρεμιθούσα - Σταθμός Καραβέλλα,30130012
routes,route_long_name,el,Σταθμός Τάφοι των Βασιλέων - Πότιμα - Κόλπος Κοραλλίων,30140011
routes,route_long_name,el,Κόλπος Κοραλλίων - Πότιμα - Σταθμός Τάφοι των Βασιλέων,30140012
routes,route_long_name,el,Κόλπος Κοραλλίων - Πέγεια - Άγιος Γεώργιος Πέγειας,30150011
routes,route_long_name,el,Άγιος Γεώργιος Πέγειας - Πέγεια - Κόλπος Κοραλλίων,30150012
routes,route_long_name,el,Σταθμός Καραβέλλα - Πλατεία Κέννεντυ - Σταθμός Τάφοι των Βασιλέων,30160011
routes,route_long_name,el,Σταθμός Τάφοι των Βασιλέων - Πλατεία Κέννεντυ - Σταθμός Καραβέλλα,30160012
routes,route_long_name,el,Πόλις Χρυσοχούς - Προδρόμι - Λατσί - Λουτρά Αφροδίτης,30170011
routes,route_long_name,el,Λουτρά Αφροδίτης - Λατσί - Προδρόμι - Πόλις Χρυσοχούς,30170012
routes,route_long_name,el,Πόλις Χρυσοχούς - Προδρόμι - Νέο Χωριό,30180011
