route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
30120011,22451,16714214,PAFOS AIRPORT,30120011,0
30120012,22451,16714215,KARAVELLA ST.,30120012,1
30020011,22451,16714216,TOMBS OF KINGS ST,30020011,0
30020012,22451,16714217,TOWN CENTER,30020012,1
30020011,22451,16714218,TOMBS OF KINGS ST,30020011,0
30020012,22451,16714219,TOWN CENTER,30020012,1
30020011,22451,16714220,TOMBS OF KINGS ST,30020011,0
30020012,22451,16714221,TOWN CENTER,30020012,1
30020011,22451,16714222,TOMBS OF KINGS ST,30020011,0
30020012,22451,16714223,TOWN CENTER,30020012,1
30020011,22451,16714224,TOMBS OF KINGS ST,30020011,0
30020012,22451,16714225,TOWN CENTER,30020012,1
30020011,22451,16714226,TOMBS OF KINGS ST,30020011,0
30020012,22451,16714227,TOWN CENTER,30020012,1
30170011,22451,16714228,APHRODITE BATHS,30170011,0
30170012,22451,16714229,POLIS CHRYSOCHOUS,30170012,1
30090012,22451,16714230,HARBOUR STATION,30090012,1
30090021,22451,16714231,MUN MARKET ST,30090021,0
30090012,22451,16714232,HARBOUR STATION,30090012,1
30090011,22451,16714233,MUN MARKET ST,30090011,0
30090012,22451,16714234,HARBOUR STATION,30090012,1
30090011,22451,16714235,MUN MARKET ST,30090011,0
30090012,22451,16714236,HARBOUR STATION,30090012,1
30090011,22451,16714237,MUN MARKET ST,30090011,0
30090012,22451,16714238,HARBOUR STATION,30090012,1
30090011,22451,16714239,MUN MARKET ST,30090011,0
30090012,22451,16714240,HARBOUR STATION,30090012,1
30090011,22451,16714241,MUN MARKET ST,30090011,0
30090012,22451,16714242,HARBOUR STATION,30090012,1
30090011,22451,16714243,MUN MARKET ST,30090011,0
30090012,22451,16714244,HARBOUR STATION,30090012,1
30090011,22451,16714245,MUN MARKET ST,30090011,0
30090012,22451,16714246,HARBOUR STATION,30090012,1
30090011,22451,16714247,MUN MARKET ST,30090011,0
30090012,22451,16714248,HARBOUR STATION,30090012,1
30090011,22451,16714249,MUN MARKET ST,30090011,0
30090012,22451,16714250,HARBOUR STATION,30090012,1
30090011,22451,16714251,MUN MARKET ST,30090011,0
