trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
16623211,06:30:00,06:30:00,8035,0,0,0
16623211,06:30:00,06:30:00,7840,1,0,0
16623211,06:31:00,06:31:00,8033,2,0,0
16623211,06:39:00,06:39:00,339,3,0,0
16623211,06:41:00,06:41:00,337,4,0,0
16623211,06:42:00,06:42:00,335,5,0,0
16623211,06:43:00,06:43:00,333,6,0,0
16623211,06:45:00,06:45:00,326,7,0,0
16623211,06:47:00,06:47:00,322,8,0,0
16623211,06:49:00,06:49:00,3,9,0,0
16623212,06:49:00,06:49:00,3,0,0,0
16623212,06:50:00,06:50:00,2702,1,0,0
16623212,06:51:00,06:51:00,53,2,0,0
16623212,06:54:00,06:54:00,7842,3,0,0
16623212,06:55:00,06:55:00,321,4,0,0
16623212,06:57:00,06:57:00,325,5,0,0
16623212,07:01:00,07:01:00,332,6,0,0
16623212,07:02:00,07:02:00,334,7,0,0
16623212,07:03:00,07:03:00,336,8,0,0
16623212,07:04:00,07:04:00,338,9,0,0
16623212,07:06:00,07:06:00,340,10,0,0
16623212,07:23:00,07:23:00,8036,11,0,0
16623212,07:26:00,07:26:00,8035,12,0,0
16623213,07:30:00,07:30:00,8035,0,0,0
16623213,07:30:00,07:30:00,7840,1,0,0
16623213,07:31:00,07:31:00,8033,2,0,0
16623213,07:42:00,07:42:00,339,3,0,0
16623213,07:44:00,07:44:00,337,4,0,0
16623213,07:45:00,07:45:00,335,5,0,0
16623213,07:46:00,07:46:00,333,6,0,0
16623213,07:50:00,07:50:00,326,7,0,0
16623213,07:52:00,07:52:00,322,8,0,0
16623213,07:54:00,07:54:00,3,9,0,0
16623214,07:54:00,07:54:00,3,0,0,0
16623214,07:55:00,07:55:00,2702,1,0,0
16623214,07:57:00,07:57:00,53,2,0,0
16623214,08:00:00,08:00:00,7842,3,0,0
16623214,08:00:00,08:00:00,321,4,0,0
16623214,08:03:00,08:03:00,325,5,0,0
16623214,08:07:00,08:07:00,332,6,0,0
16623214,08:08:00,08:08:00,334,7,0,0
16623214,08:09:00,08:09:00,336,8,0,0
16623214,08:11:00,08:11:00,338,9,0,0
16623214,08:13:00,08:13:00,340,10,0,0
16623214,08:32:00,08:32:00,8036,11,0,0
16623214,08:35:00,08:35:00,8035,12,0,0
16623215,08:45:00,08:45:00,8035,0,0,0
16623215,08:45:00,08:45:00,7840,1,0,0
16623215,08:46:00,08:46:00,8033,2,0,0
16623215,08:55:00,08:55:00,339,3,0,0
16623215,08:56:00,08:56:00,337,4,0,0
16623215,08:58:00,08:58:00,335,5,0,0
16623215,08:59:00,08:59:00,333,6,0,0
16623215,09:01:00,09:01:00,326,7,0,0
16623215,09:03:00,09:03:00,322,8,0,0
16623215,09:05:00,09:05:00,3,9,0,0
16623216,09:05:00,09:05:00,3,0,0,0
16623216,09:06:00,09:06:00,2702,1,0,0
16623216,09:07:00,09:07:00,53,2,0,0
16623216,09:10:00,09:10:00,7842,3,0,0
16623216,09:10:00,09:10:00,321,4,0,0
16623216,09:13:00,09:13:00,325,5,0,0
16623216,09:16:00,09:16:00,332,6,0,0
16623216,09:16:00,09:16:00,334,7,0,0
16623216,09:17:00,09:17:00,336,8,0,0
16623216,09:19:00,09:19:00,338,9,0,0
16623216,09:21:00,09:21:00,340,10,0,0
16623216,09:36:00,09:36:00,8036,11,0,0
16623216,09:39:00,09:39:00,8035,12,0,0
16623217,11:00:00,11:00:00,8035,0,0,0
