table_name,field_name,language,translation,record_id
routes,route_long_name,el,ΓΣΠ-Υπουργείο Οικονομικών,9990011
routes,route_long_name,el,Υπουργείο Οικονομικών - Βουλή των Αντιπροσώπων -Ομήρου -  ΓΣΠ,9990012
routes,route_long_name,el,ΓΣΠ - Υπουργείο Οικονομικών - Ομήρου - ΓΣΠ,9990999
stops,stop_name,el,Τεχνική Σχολή Γ Λευκωσίας,332
stops,stop_desc,el,ΤΕΧΝ.ΣΧΟΛΗ,332
stops,stop_name,el,Στάδιο ΓΣΠ,7840
stops,stop_desc,el,ΣτΓΣΠ,7840
stops,stop_name,el,Λεωφόρος Αρχιεπισκόπου Μακαρίου Γ΄ - Αμάλδας,321
stops,stop_desc,el,Μακ-Αμάλδα,321
stops,stop_name,el,Λεωφ. Λεμεσού - Λύκειο Αρχιεπισκόπου Μακαρίου Γ,337
stops,stop_desc,el,ΑΣΤΥΝΟΜΙΑ,337
stops,stop_name,el,Λεωφ. Αρχιεπισκόπου Μακαρίου Γ΄- Θεοφάνη Θεοδότου,322
stops,stop_desc,el,Μακ-Θεοδοτ,322
stops,stop_name,el,Λεωφόρος Λεμεσου - Ελλησπόντου,339
stops,stop_desc,el,Λεμ-Ελλησ,339
stops,stop_name,el,Λεωφόρος Λεμεσου - Σαν Σουσί,335
stops,stop_desc,el,Λεμ-ΣΣουσι,335
stops,stop_name,el,Λεωφ. Λεμεσού - Πάρκο Κυκλοφοριακής Αγωγής,338
stops,stop_desc,el, Κ.Αγωγής,338
stops,stop_name,el,Λεωφ. Αρχιεπισκόπου Μακαρίου Γ΄ - John Kennedy,333
stops,stop_desc,el,Μακ-Κένεντ,333
stops,stop_name,el,Λεωφόρος Αρχιεπισκόπου Μακαρίου Γ΄ - Δημοφώντος,326
stops,stop_desc,el,Μακ-Δημοφ,326
stops,stop_name,el,Γιαννου Κρανιδιωτη - ΓΣΠ1,8036
stops,stop_desc,el,ΓΚΓΣΠ1,8036
stops,stop_name,el,Γιαννου Κρανιδιωτη - ΓΣΠ,8035
stops,stop_desc,el,ΓΚΓΣΠ,8035
stops,stop_name,el,Στάδιο ΓΣΠ 3,8033
stops,stop_desc,el,ΓΣΠ3,8033
stops,stop_name,el,Λεωφόρος Λεμεσου - Καλησπέρα,340
stops,stop_desc,el,Λεμ-Καλησπ,340
stops,stop_name,el,Υπουργείο Οικονομικών,3
stops,stop_desc,el,ΥΠ.ΟΙΚΟΝ,3
stops,stop_name,el,Γ.Λεβέντη - Ευαγόρου,7842
stops,stop_desc,el,ΓΛεβΕυαγ,7842
stops,stop_name,el,Κινύρα,53
stops,stop_desc,el,Κινύρα,53
stops,stop_name,el,Βουλή των Αντιπροσώπων,2702
stops,stop_desc,el,ΒουτωνΑντ,2702
stops,stop_name,el,Λεωφόρος Λεμεσου - Μελκονιάν,336
stops,stop_desc,el,Λεμ-Μελκον,336
