route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
9990011,22338,16623211,Ministry of Fin.,9990011,0
9990012,22338,16623212,GSP,9990012,1
9990011,22338,16623213,Ministry of Fin.,9990011,0
9990012,22338,16623214,GSP,9990012,1
9990011,22338,16623215,Ministry of Fin.,9990011,0
9990012,22338,16623216,GSP,9990012,1
9990011,22338,16623217,Ministry of Fin.,9990011,0
9990012,22338,16623218,GSP,9990012,1
9990011,22338,16623219,Ministry of Fin.,9990011,0
9990012,22338,16623220,GSP,9990012,1
9990011,22338,16623221,Ministry of Fin.,9990011,0
9990012,22338,16623222,GSP,9990012,1
9990011,22338,16623223,Ministry of Fin.,9990011,0
9990012,22338,16623224,GSP,9990012,1
9990011,22338,16623225,Ministry of Fin.,9990011,0
9990012,22338,16623226,GSP,9990012,1
9990011,22338,16623227,Ministry of Fin.,9990011,0
9990012,22338,16623228,GSP,9990012,1
9990011,22338,16623229,Ministry of Fin.,9990011,0
9990012,22338,16623230,GSP,9990012,1
9990011,22338,16623231,Ministry of Fin.,9990011,0
9990012,22338,16623232,GSP,9990012,1
9990011,22338,16623233,Ministry of Fin.,9990011,0
9990012,22338,16623234,GSP,9990012,1
9990011,22338,16623235,Ministry of Fin.,9990011,0
9990012,22338,16623236,GSP,9990012,1
9990011,22338,16623237,Ministry of Fin.,9990011,0
9990012,22338,16623238,GSP,9990012,1
9990011,22338,16623239,Ministry of Fin.,9990011,0
9990012,22338,16623240,GSP,9990012,1
9990011,22338,16623241,Ministry of Fin.,9990011,0
9990012,22338,16623242,GSP,9990012,1
9990011,22338,16623243,Ministry of Fin.,9990011,0
9990012,22338,16623244,GSP,9990012,1
9990011,22338,16623245,Ministry of Fin.,9990011,0
9990011,22338,16623246,Ministry of Fin.,9990011,0
9990012,22338,16623247,GSP,9990012,1
9990011,22338,16623248,Ministry of Fin.,9990011,0
9990012,22338,16623249,GSP,9990012,1
9990011,22338,16623250,Ministry of Fin.,9990011,0
9990012,22338,16623251,GSP,9990012,1
9990011,22338,16623252,Ministry of Fin.,9990011,0
9990012,22338,16623253,GSP,9990012,1
9990011,22338,16623254,Ministry of Fin.,9990011,0
9990012,22338,16623255,GSP,9990012,1
9990011,22338,16623256,Ministry of Fin.,9990011,0
9990011,22338,16623257,Ministry of Fin.,9990011,0
9990012,22338,16623258,GSP,9990012,1
9990011,22338,16623259,Ministry of Fin.,9990011,0
9990012,22338,16623260,GSP,9990012,1
9990011,22338,16623261,Ministry of Fin.,9990011,0
9990012,22338,16623262,GSP,9990012,1
9990011,22338,16623263,Ministry of Fin.,9990011,0
9990012,22338,16623264,GSP,9990012,1
9990011,22338,16623265,Ministry of Fin.,9990011,0
9990012,22338,16623266,GSP,9990012,1
9990011,22338,16623267,Ministry of Fin.,9990011,0
9990012,22338,16623268,GSP,9990012,1
9990011,22338,16623269,Ministry of Fin.,9990011,0
9990012,22338,16623270,GSP,9990012,1
9990011,22338,16623271,Ministry of Fin.,9990011,0
9990012,22338,16623272,GSP,9990012,1
9990012,22338,16623273,GSP,9990012,1
9990011,22338,16623274,Ministry of Fin.,9990011,0
9990012,22338,16623275,GSP,9990012,1
9990011,22338,16623276,Ministry of Fin.,9990011,0
9990012,22338,16623277,GSP,9990012,1
9990012,22338,16623278,GSP,9990012,1
9990011,22338,16623279,Ministry of Fin.,9990011,0
9990012,22338,16623280,GSP,9990012,1
9990011,22338,16623281,Ministry of Fin.,9990011,0
9990012,22338,16623282,GSP,9990012,1
9990011,22338,16623283,Ministry of Fin.,9990011,0
9990012,22338,16623284,GSP,9990012,1
9990011,22338,16623285,Ministry of Fin.,9990011,0
9990012,22338,16623286,GSP,9990012,1
9990011,22338,16623287,Ministry of Fin.,9990011,0
9990012,22338,16623288,GSP,9990012,1
9990011,22338,16623289,Ministry of Fin.,9990011,0
9990012,22338,16623290,GSP,9990012,1
